['01', '02', '03', '20']
['01', '02', '03', '21']
['01', '02', '03', '23']
['01', '02', '03', '10']
['01', '02', '03', '12']
['01', '02', '03', '13']
['01', '02', '03', '30']
['01', '02', '03', '31']
['01', '02', '03', '32']
['01', '02', '20', '03']
['01', '02', '20', '21']
['01', '02', '20', '23']
['01', '02', '20', '10']
['01', '02', '20', '12']
['01', '02', '20', '13']
['01', '02', '20', '30']
['01', '02', '20', '31']
['01', '02', '20', '32']
['01', '02', '21', '03']
['01', '02', '21', '20']
['01', '02', '21', '23']
['01', '02', '21', '10']
['01', '02', '21', '12']
['01', '02', '21', '13']
['01', '02', '21', '30']
['01', '02', '21', '31']
['01', '02', '21', '32']
['01', '02', '23', '03']
['01', '02', '23', '20']
['01', '02', '23', '21']
['01', '02', '23', '10']
['01', '02', '23', '12']
['01', '02', '23', '13']
['01', '02', '23', '30']
['01', '02', '23', '31']
['01', '02', '23', '32']
['01', '02', '10', '03']
['01', '02', '10', '20']
['01', '02', '10', '21']
['01', '02', '10', '23']
['01', '02', '10', '12']
['01', '02', '10', '13']
['01', '02', '10', '30']
['01', '02', '10', '31']
['01', '02', '10', '32']
['01', '02', '12', '03']
['01', '02', '12', '20']
['01', '02', '12', '21']
['01', '02', '12', '23']
['01', '02', '12', '10']
['01', '02', '12', '13']
['01', '02', '12', '30']
['01', '02', '12', '31']
['01', '02', '12', '32']
['01', '02', '13', '03']
['01', '02', '13', '20']
['01', '02', '13', '21']
['01', '02', '13', '23']
['01', '02', '13', '10']
['01', '02', '13', '12']
['01', '02', '13', '30']
['01', '02', '13', '31']
['01', '02', '13', '32']
['01', '02', '30', '03']
['01', '02', '30', '20']
['01', '02', '30', '21']
['01', '02', '30', '23']
['01', '02', '30', '10']
['01', '02', '30', '12']
['01', '02', '30', '13']
['01', '02', '30', '31']
['01', '02', '30', '32']
['01', '02', '31', '03']
['01', '02', '31', '20']
['01', '02', '31', '21']
['01', '02', '31', '23']
['01', '02', '31', '10']
['01', '02', '31', '12']
['01', '02', '31', '13']
['01', '02', '31', '30']
['01', '02', '31', '32']
['01', '02', '32', '03']
['01', '02', '32', '20']
['01', '02', '32', '21']
['01', '02', '32', '23']
['01', '02', '32', '10']
['01', '02', '32', '12']
['01', '02', '32', '13']
['01', '02', '32', '30']
['01', '02', '32', '31']
['01', '03', '02', '20']
['01', '03', '02', '21']
['01', '03', '02', '23']
['01', '03', '02', '10']
['01', '03', '02', '12']
['01', '03', '02', '13']
['01', '03', '02', '30']
['01', '03', '02', '31']
['01', '03', '02', '32']
['01', '03', '20', '02']
['01', '03', '20', '21']
['01', '03', '20', '23']
['01', '03', '20', '10']
['01', '03', '20', '12']
['01', '03', '20', '13']
['01', '03', '20', '30']
['01', '03', '20', '31']
['01', '03', '20', '32']
['01', '03', '21', '02']
['01', '03', '21', '20']
['01', '03', '21', '23']
['01', '03', '21', '10']
['01', '03', '21', '12']
['01', '03', '21', '13']
['01', '03', '21', '30']
['01', '03', '21', '31']
['01', '03', '21', '32']
['01', '03', '23', '02']
['01', '03', '23', '20']
['01', '03', '23', '21']
['01', '03', '23', '10']
['01', '03', '23', '12']
['01', '03', '23', '13']
['01', '03', '23', '30']
['01', '03', '23', '31']
['01', '03', '23', '32']
['01', '03', '10', '02']
['01', '03', '10', '20']
['01', '03', '10', '21']
['01', '03', '10', '23']
['01', '03', '10', '12']
['01', '03', '10', '13']
['01', '03', '10', '30']
['01', '03', '10', '31']
['01', '03', '10', '32']
['01', '03', '12', '02']
['01', '03', '12', '20']
['01', '03', '12', '21']
['01', '03', '12', '23']
['01', '03', '12', '10']
['01', '03', '12', '13']
['01', '03', '12', '30']
['01', '03', '12', '31']
['01', '03', '12', '32']
['01', '03', '13', '02']
['01', '03', '13', '20']
['01', '03', '13', '21']
['01', '03', '13', '23']
['01', '03', '13', '10']
['01', '03', '13', '12']
['01', '03', '13', '30']
['01', '03', '13', '31']
['01', '03', '13', '32']
['01', '03', '30', '02']
['01', '03', '30', '20']
['01', '03', '30', '21']
['01', '03', '30', '23']
['01', '03', '30', '10']
['01', '03', '30', '12']
['01', '03', '30', '13']
['01', '03', '30', '31']
['01', '03', '30', '32']
['01', '03', '31', '02']
['01', '03', '31', '20']
['01', '03', '31', '21']
['01', '03', '31', '23']
['01', '03', '31', '10']
['01', '03', '31', '12']
['01', '03', '31', '13']
['01', '03', '31', '30']
['01', '03', '31', '32']
['01', '03', '32', '02']
['01', '03', '32', '20']
['01', '03', '32', '21']
['01', '03', '32', '23']
['01', '03', '32', '10']
['01', '03', '32', '12']
['01', '03', '32', '13']
['01', '03', '32', '30']
['01', '03', '32', '31']
['01', '20', '02', '03']
['01', '20', '02', '21']
['01', '20', '02', '23']
['01', '20', '02', '10']
['01', '20', '02', '12']
['01', '20', '02', '13']
['01', '20', '02', '30']
['01', '20', '02', '31']
['01', '20', '02', '32']
['01', '20', '03', '02']
['01', '20', '03', '21']
['01', '20', '03', '23']
['01', '20', '03', '10']
['01', '20', '03', '12']
['01', '20', '03', '13']
['01', '20', '03', '30']
['01', '20', '03', '31']
['01', '20', '03', '32']
['01', '20', '21', '02']
['01', '20', '21', '03']
['01', '20', '21', '23']
['01', '20', '21', '10']
['01', '20', '21', '12']
['01', '20', '21', '13']
['01', '20', '21', '30']
['01', '20', '21', '31']
['01', '20', '21', '32']
['01', '20', '23', '02']
['01', '20', '23', '03']
['01', '20', '23', '21']
['01', '20', '23', '10']
['01', '20', '23', '12']
['01', '20', '23', '13']
['01', '20', '23', '30']
['01', '20', '23', '31']
['01', '20', '23', '32']
['01', '20', '10', '02']
['01', '20', '10', '03']
['01', '20', '10', '21']
['01', '20', '10', '23']
['01', '20', '10', '12']
['01', '20', '10', '13']
['01', '20', '10', '30']
['01', '20', '10', '31']
['01', '20', '10', '32']
['01', '20', '12', '02']
['01', '20', '12', '03']
